file_id	file_name	data_type	data_category	data_format	experimental_strategy	workflow_type	access	file_size	case_id	sample_id	sample_type	tissue_type
20c387ac-2248-4d54-b4f2-6f09e0e4969d	SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B06_731038.grch38.seg.v2.txt	Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	23564	TCGA-AN-A0XN	TCGA-AN-A0XN-10A	Blood Derived Normal	Normal
fe6b90c3-1beb-40ee-980f-2b46824d6917	BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B09_697178.grch38.seg.v2.txt	Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	30624	TCGA-BH-A0AW	TCGA-BH-A0AW-10A	Blood Derived Normal	Normal
061eab0f-3543-468b-a60e-3d8e78d33b7c	HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_B05_628466.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	14029	TCGA-AO-A03P	TCGA-AO-A03P-10A	Blood Derived Normal	Normal
23fe44f0-776b-4d05-808a-8e7a4da92a21	SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_E08_697982.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	3591	TCGA-A2-A0SU	TCGA-A2-A0SU-10A	Blood Derived Normal	Normal
055f6138-ea7a-468d-90c2-87a473486867	43d15c49-f348-48a8-b00f-7f6a7b605a04.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	Transcriptome Profiling	TSV	RNA-Seq	STAR - Counts	open	4235673	TCGA-A2-A0SU	TCGA-A2-A0SU-01A	Primary Tumor	Tumor
8491c00f-f2b4-4916-827c-972e3fca7ffe	TCGA-BRCA.31afcf05-454e-40db-99db-c2ad7828d87f.absolute_liftover.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ABSOLUTE LiftOver	open	3432551	TCGA-E9-A3Q9	TCGA-E9-A3Q9-01A	Primary Tumor	Tumor
9fabee8f-fe3c-4bdd-ba68-6ad50c795870	TCGA-BRCA.1ec0101f-dc3b-4d2e-b182-b70350f92562.ascat3.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ASCAT3	open	3450574	TCGA-AO-A03P	TCGA-AO-A03P-01A	Primary Tumor	Tumor
9fabee8f-fe3c-4bdd-ba68-6ad50c795870	TCGA-BRCA.1ec0101f-dc3b-4d2e-b182-b70350f92562.ascat3.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ASCAT3	open	3450574	TCGA-AO-A03P	TCGA-AO-A03P-10A	Blood Derived Normal	Normal
905536de-f1c0-41f3-94be-a3a0b3921085	TCGA-AR-A0TX-01A-11D-A893-36.WholeGenome.RP-1657.cr.igv.reheader.seg.txt	Copy Number Segment	Copy Number Variation	TXT	WGS	GATK4 CNV	open	65627	TCGA-AR-A0TX	TCGA-AR-A0TX-10A	Blood Derived Normal	Normal
905536de-f1c0-41f3-94be-a3a0b3921085	TCGA-AR-A0TX-01A-11D-A893-36.WholeGenome.RP-1657.cr.igv.reheader.seg.txt	Copy Number Segment	Copy Number Variation	TXT	WGS	GATK4 CNV	open	65627	TCGA-AR-A0TX	TCGA-AR-A0TX-01A	Primary Tumor	Tumor
5af91b67-394a-4872-ad42-0f41e0998ad6	d900f712-a98a-47fd-9a33-f13e57f5c343.mirbase21.mirnas.quantification.txt	miRNA Expression Quantification	Transcriptome Profiling	TXT	miRNA-Seq	BCGSC miRNA Profiling	open	50156	TCGA-A1-A0SE	TCGA-A1-A0SE-01A	Primary Tumor	Tumor
3bd5f126-6143-4fd1-8fd6-96b2a7ada149	TCGA-BRCA.82a8cdff-ba8d-4eb6-ae65-4881a10abc7a.ascat3.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ASCAT3	open	3445481	TCGA-E9-A5FL	TCGA-E9-A5FL-01A	Primary Tumor	Tumor
